Connective Name	Parts of Speech	Sense (PDTB-3)
a causa de	prep	CONTINGENCY:Cause:Reason
a condición de que	csu	CONTINGENCY:Condition:Arg2-as-cond
a continuación	adv	TEMPORAL:Asynchronous:Precedence
a fin de	prep	CONTINGENCY:Purpose:Arg2-as-goal
a fin de cuentas	adv	TEMPORAL:Asynchronous:Precedence
a fin de que	csu	CONTINGENCY:Purpose:Arg2-as-goal
a menos que	csu	CONTINGENCY:Negative-Condition:Arg2-as-negcond
a pesar de	prep	COMPARISON:Concession:Arg1-as-denier
a pesar de ello;a pesar de esto;a pesar de eso	adv	COMPARISON:Concession:Arg2-as-denier
a pesar de que	csu	COMPARISON:Concession:Arg1-as-denier
a pesar de todo	adv	COMPARISON:Concession:Arg2-as-denier
a propósito	adv	EXPANSION:Conjunction
a saber	other	EXPANSION:Level-of-detail:Arg2-as-detail,EXPANSION:Equivalence
además	adv	EXPANSION:Conjunction
además de	prep	EXPANSION:Conjunction
ahora bien	adv	COMPARISON:Concession:Arg2-as-denier
al contrario	adv	EXPANSION:Substitution:Arg2-as-subst,COMPARISON:Contrast
al contrario de	prep	EXPANSION:Substitution:Arg2-as-subst,COMPARISON:Contrast
al final	adv	TEMPORAL:Asynchronous:Precedence
al mismo tiempo	adv	TEMPORAL:Synchronous
anteriormente	adv	TEMPORAL:Asynchronous:Succession
antes	adv	TEMPORAL:Asynchronous:Succession
antes bien	other	EXPANSION:Substitution:Arg2-as-subst
antes de	prep	TEMPORAL:Asynchronous:Precedence
antes de que	csu	TEMPORAL:Asynchronous:Precedence
aparte	adv	EXPANSION:Conjunction
aparte de	prep	EXPANSION:Conjunction
así pues	adv	CONTINGENCY:Cause:Result
asimismo;así mismo	adv	EXPANSION:Conjunction
aun así;aún así	adv	COMPARISON:Concession:Arg2-as-denier
aunque	csu	COMPARISON:Concession:Arg1-as-denier
como	csu	TEMPORAL:Synchronous,COMPARISON:Similarity
como consecuencia	adv	CONTINGENCY:Cause:Result
como consecuencia de	prep	CONTINGENCY:Cause:Reason
con todo	csu	COMPARISON:Concession:Arg2-as-denier
contrariamente a	prep	COMPARISON:Contrast,COMPARISON:Concession:Arg2-as-denier
cuando	csu	TEMPORAL:Synchronous,COMPARISON:Concession:Arg1-as-denier,CONTINGENCY:Condition:Arg1-as-cond
dado que	csu	CONTINGENCY:Cause:Reason
de entrada	adv	TEMPORAL:Asynchronous:Succession,EXPANSION:Conjunction
de esta forma;de esa forma	adv	CONTINGENCY:Cause:Result
de esta manera;de esa manera	adv	CONTINGENCY:Cause:Result
de este modo;de ese modo	adv	CONTINGENCY:Cause:Result
